review_id,platform,country,date,star_rating,title,text,user_name,app_version,is_crypto,is_trust_concern,is_fx,is_relevant,matched_crypto,matched_trust,matched_fx
13964932977,app_store,gb,2026-04-16T12:31:50-07:00,5,Less charges,Sending money abroad is very fast and has fewer charges.,Jeff babasa,10.125,False,False,True,True,,,sending money abroad
13964782612,app_store,gb,2026-04-16T11:35:23-07:00,5,Brill.,"You can’t go wrong with this card, especially if you travel a lot like I do. Getting the proper exchange rates for currencies is a big bonus",omgouttathisworld,10.125,False,False,True,True,,,exchange rates
13964726930,app_store,gb,2026-04-16T11:14:22-07:00,5,Elite Application,"Amazing app with so many options and access to Market, crypto. Easy transferring setting up of the accounts ❤️🤍🥳",Sushinronek,10.125,True,False,False,True,crypto,,
13964028536,app_store,gb,2026-04-16T07:12:07-07:00,5,The best bank ever,"I just like to use it, simple, perfect and performance wise.",otiliam,10.125,False,False,True,True,,,wise
13963835302,app_store,gb,2026-04-16T06:08:49-07:00,1,dont buy the crypto by revolut,very hi fee,Ashkan Nademi,10.125,True,False,False,True,crypto,,
13963787063,app_store,gb,2026-04-16T05:52:33-07:00,5,It’s amazing,Just get it. Saves an abs fortune on exchange rates and is fun to just tap with its contactless shopping,Big Cathal,10.125,False,False,True,True,,,exchange rates
13963511198,app_store,gb,2026-04-16T04:12:53-07:00,1,Scams,As far as I am concerned you may be legit but you are linked to too many scams. Please take me off your mailing list. I have already bind your app. I regret putting money through you for the scam firm trade for you. (Trade4u)I don’t want to hear anything from you ever again,Sapper H,10.125,False,True,False,True,,scam,
13963290550,app_store,gb,2026-04-16T02:35:23-07:00,5,Good bank,Good banking app with crypto features and fast transactions,Regginhanger,10.125,True,False,False,True,crypto,,
13963276339,app_store,gb,2026-04-16T02:28:16-07:00,5,Travel expenses made easier,Simple to change money into different currencies and good exchange rates.,wendyworldwide,10.125,False,False,True,True,,,exchange rates
13962782044,app_store,gb,2026-04-15T22:03:48-07:00,5,Travelling around the world,I love Revolut in my everyday life. I earn unbelievable rev points! But the game changer is travelling abroad! Revolut gives you the best exchange rates and no charges. Absolutely love my Revolut ultimate card 😍,AmandaO1966,10.125,False,False,True,True,,,exchange rates
